Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,435345.000000,437240.000000,430099.000000,431680.000000,431680.000000,21
2021-11-10,431420.000000,433409.000000,428940.000000,430602.000000,430602.000000,17
2021-11-11,431800.000000,434399.000000,428694.000000,429202.000000,429202.000000,14
2021-11-12,432614.000000,432899.000000,427664.000000,431575.000000,431575.000000,12
2021-11-15,432193.000000,434335.000000,429079.000000,429302.000000,429302.000000,18
2021-11-16,429638.000000,431849.000000,427120.000000,427702.000000,427702.000000,15
2021-11-17,427651.000000,429710.000000,424201.000000,426198.000000,426198.000000,18
2021-11-18,428429.000000,428429.000000,422223.000000,422702.000000,422702.000000,16
2021-11-19,422901.000000,424300.000000,420000.000000,423374.000000,423374.000000,16
2021-11-22,425225.000000,432000.000000,422535.000000,430100.000000,430100.000000,19
2021-11-23,432837.000000,435365.000000,430100.000000,434921.000000,434921.000000,24
2021-11-24,434643.000000,437139.000000,431497.000000,433333.000000,433333.000000,15
2021-11-26,424233.000000,429803.000000,421091.000000,427833.000000,427833.000000,16
2021-11-29,429048.000000,432135.000000,425000.000000,425260.000000,425260.000000,19
2021-11-30,423823.000000,426125.000000,416546.000000,416876.000000,416876.000000,19
2021-12-01,421535.000000,424669.000000,415000.000000,415660.000000,415660.000000,20
2021-12-02,417776.000000,422999.000000,415526.000000,420566.000000,420566.000000,12
2021-12-03,421420.000000,426000.000000,416100.000000,418676.000000,418676.000000,17
